Date,Close,Change,Signal,Profit
2024-07-31,44.63,,Sell,4.63
2024-08-09,22.20,-50.26,Buy,0.00
2024-08-19,39.00,75.68,Sell,16.80
2024-08-28,37.00,-5.13,Buy,0.00
2024-09-13,39.07,5.59,Sell,2.07
2024-09-17,38.60,-1.20,Buy,0.00
2024-09-20,41.00,6.22,Sell,2.40
2024-09-24,44.90,9.51,,0.00
2024-10-08,50.00,11.36,,0.00
2024-10-14,72.85,45.70,,0.00
2024-10-15,67.52,-7.32,Buy,0.00
2024-10-16,68.70,1.75,,0.00
2024-10-17,65.55,-4.59,,0.00
2024-10-23,58.49,-10.77,,0.00
2024-10-25,60.21,2.94,,0.00
2024-10-28,60.26,0.08,,0.00
2024-10-29,61.75,2.47,,0.00
2024-10-31,46.30,-25.02,,0.00
2024-11-06,79.38,71.45,Sell,11.86
2024-11-07,84.62,6.60,,0.00
2024-11-08,88.75,4.88,,0.00
2024-11-11,97.93,10.34,,0.00
2024-11-12,93.60,-4.42,Buy,0.00
2024-11-13,97.61,4.28,Sell,4.01
2024-11-14,85.62,-12.28,Buy,0.00
2024-11-18,69.32,-19.04,,0.00
2024-11-20,70.26,1.36,,0.00
2024-11-21,74.80,6.46,,0.00
2024-11-22,82.27,9.99,,0.00
2024-11-25,83.77,1.82,,0.00
2024-11-26,90.40,7.91,Sell,4.78
2024-11-27,86.86,-3.92,Buy,0.00
2024-11-29,85.60,-1.45,,0.00
2024-12-02,93.53,9.26,Sell,6.67
2024-12-04,103.10,10.23,,0.00
2024-12-05,103.34,0.23,,0.00
2024-12-06,102.73,-0.59,,0.00
2024-12-09,97.00,-5.58,Buy,0.00
2024-12-10,89.40,-7.84,,0.00
2024-12-11,104.70,17.11,Sell,7.70
2024-12-12,97.00,-7.35,Buy,0.00
2024-12-13,91.60,-5.57,,0.00
2024-12-16,105.00,14.63,Sell,8.00
2024-12-17,98.10,-6.57,Buy,0.00
2024-12-18,71.00,-27.62,,0.00
2024-12-19,63.00,-11.27,,0.00
2024-12-20,69.67,10.59,,0.00
2024-12-23,65.60,-5.84,,0.00
2024-12-24,75.80,15.55,,0.00
2024-12-26,76.20,0.53,,0.00
2024-12-27,56.60,-25.72,,0.00
2024-12-30,53.70,-5.12,,0.00
2024-12-31,45.00,-16.20,,0.00
2025-01-02,40.90,-9.11,,0.00
2025-01-03,46.60,13.94,,0.00
2025-01-06,54.60,17.17,,0.00
2025-01-07,47.50,-13.00,,0.00
2025-01-08,47.70,0.42,,0.00
2025-01-10,39.20,-17.82,,0.00
2025-01-13,40.30,2.81,,0.00
2025-01-14,41.80,3.72,,0.00
2025-01-15,49.90,19.38,,0.00
2025-01-16,49.90,0.00,,0.00
2025-01-17,58.60,17.43,,0.00
2025-01-21,66.00,12.63,,0.00
2025-01-22,77.40,17.27,,0.00
2025-01-23,77.40,0.00,,0.00
2025-01-24,75.60,-2.33,,0.00
